titre;diagnostic;traitement;prevention;appel
ENTEROTOXEMIES;"Mortalité aiguë
Gonflement et putréfaction rapide du cadavre
Souvent sur les animaux les plus lourds du lot
Autopsie rapide(dans les 6 heures) après la mort";Illusoire : Pénicillines à double dose, intrapéritonéale;"Alimentation :
  => Qualitatif : équilibres, attention à l’acidose
  => Quantitatif : attention aux excès
  => Distribution : étalement des apports
  => Transitions alimentaires : sur 8 à 10 jours
Vaccination des jeunes bovins principalement: 2 injections à 1 mois d'intervalle";Pour autopsie lors de doute sur le diagnostic
PARASITES EXTERNES;"Atteinte de peau (perte de poils, croutes, etc.) et parfois démangeaisons (= prurit).
 => Prurit violent avec croutes localisées souvent autour de la queue : gales
 => Prurit plus modéré avec dépilations diffuses : poux
 => Absence de prurit avec dépilations nettes ou croutes blanchatres : teignes
… liste non exhaustive";"Gales: ivermectines injectables
Poux: huiles essentielles, pyréthrinoïdes ou ivermectine P.O. (n'agit pas sur les poux broyeurs).
Teignes: application locale d'huiles essentielles, pulvérisations à l'éniconazole";"Désinfection des bâtiments
Traitement préventif
Attention lors des mélanges de troupeaux ou d’achat d’animaux d’origine inconnue";"Atteinte généralisée du troupeau
Échecs des traitements"
MALADIES RESPIRATOIRES;"Mortalité à tout âge, sans parfois avoir observé de symptômes
Faiblesse, température au alentour de 40°C, tirage costal important (les agneaux battent du flanc), jetage
A l’état chronique : baisse de croissance, saisies à l’abattoir
Lors de mortalité sur les agneaux, une autopsie même rapide permet de mettre en évidence des lésions de pasteurellose aiguë (poumon violet, consistance du foie)";"Antibiotique par voie générale
+ anti-inflammatoire non stéroïdien";"« De l’air sans courant d’air »: Limiter les courants d’air (non perceptible sur le visage),
Humidité, poussière, ammoniac (normalement non perceptible)
Chargement des bergeries
Elimination des porteurs chroniques (souvent de non valeur économique)
En cas d’épidémie:
Après confirmation de la présence de l’agent en cause : vaccination des mères.";"mortalité
inefficacité du traitement, extension de la maladie
rechutes"
Mammites des brebis allaitantes;"Déformation et douleur à la mamelle (le lait n’est pas systématiquement modifié)
Température en début d’évolution
Légère boiterie
Mammite gangreneuse, le pis est froid, noir (nécrose) ";"Le succès thérapeutique dépend de la PRECOCITE du traitement
Antibiotique  par voie générale associé parfois à un anti-inflammatoire +
Antibiotique en voie intramammaire .
Réforme en cas d’échec";"Hygiène de l’environnement (litière sèche)
Conduite du sevrage (les brebis doivent entendre le moins possible les agneaux
Equilibre de la ration et supplémentation en vitamine AD3E avant la mise-bas
Prévention contre l’ecthyma contagieux";Incidence supérieur à 5%
Diarrhées néonatales des agneaux (« agneaux baveurs »);"De nombreux agents pathogènes sont en cause dans les diarrhées des agneaux (bactéries, virus, parasites). Ce sont des microbes qui survivent bien dans les bergeries et qui sont portés par les adultes. Les agneaux se contaminent en général très tôt sur les mamelles ou la laine des brebis souillés par la litière.
Exemples d’agent pathogène
E.Coli K99 ,Salmonelle, Rotavirus et Coronavirus, Cryptosoridium  (diarrhée des 2 premières semaines souvent résistantes au traitement antidiarrhéique classique), Coccidiose  (agneaux de plus de 3 semaines, baisse de croissance, agneau léopard, diarrhée de couleur foncée";"Agneaux de mois de 3 semaines :
Antibiotiques voie parentérale en cas de symptômes généraux (« agneaux baveurs ») et par voie orale.
Argile en libre service
Agneaux de 3 semaines et plus (coccidiose) :
Traitement anticoccidien";"Diarrhées bactériennes et virales: avoir des brebis en bon état, hygiène de la bergerie, équilibre de la ration des brebis, déparasitage, apport d’oligo-éléments et de vitamines.
Hygiène de la mise bas : Désinfection du cordon, têtée du colostrum, bonne hygiène lors d’intervention.
Elevage des agneaux : allotement, espace réservé aux agneaux, argile en libre service
Coccidiose: argile en libre service, acidifier l’eau de boisson au vinaigre de cidre, bassines à lécher à effet coccidiostatique
Si insuffisant : traitement anticoccidien";Fréquence importante et/ou mortalité >10%
Arthrites de l'agneau;"Agneaux de tout âge
Boiterie  (un  ou  plusieurs  membres).
La déformation de l’articulation n’est pas toujours présente en début d’évolution (cas de l’arthrite du rouget, assez contagieuse)
A différencier du raide (qui touche plus le train arrière) et des fractures ou autre traumatisme
";"2 grands principes pour la réussite : Précocité et Durée
Association d’un antibiotique et d’un anti-inflammatoire non stéroïdien
";"Vidange et désinfection des cordons à la naissance avec de la teinture d’iode ou du nutombyl®.
Désinfection lors de la pose des boucles
Désinfection après coupe des queues
Litière sèche (ne colle pas au dos de la main en période d’agnelage),
Maîtrise de l’humidité dans la bergerie

Vidange et désinfection des cordons à la naissance avec de la teinture d’iode ou du nutombyl®.
Désinfection lors de la pose des boucles
Désinfection après coupe des queues
Litière sèche (ne colle pas au dos de la main en période d’agnelage),
Maîtrise de l’humidité dans la bergerie

Vidange et désinfection des cordons à la naissance avec de la teinture d’iode ou du nutombyl®.
Désinfection lors de la pose des boucles
Désinfection après coupe des queues
Litière sèche (ne colle pas au dos de la main en période d’agnelage),
Maîtrise de l’humidité dans la bergerie

Vidange et désinfection des cordons à la naissance avec de la teinture d’iode ou du nutombyl®.
Désinfection lors de la pose des boucles
Désinfection après coupe des queues
Litière sèche (ne colle pas au dos de la main en période d’agnelage),
Maîtrise de l’humidité dans la bergerie

Vidange et désinfection des cordons à la naissance avec de la teinture d’iode ou du nutombyl®.
Désinfection lors de la pose des boucles
Désinfection après coupe des queues
Litière sèche (ne colle pas au dos de la main en période d’agnelage),
Maîtrise de l’humidité dans la bergerie

";"Echec des traitements mis en place (précocement et suffisamment longtemps).
Augmentation des cas
En cas de doute sur le diagnostic, faire examiner un animal"
Abcès;"Souvent sur les agnelles de races rustiques
Forme une coque contenant un liquide.
";"Ouvrir l’abcès (s’il est mur)
Nettoyage à l’eau, désinfection teinture d’iode
Isoler l’animal quelques temps dans la mesure du possible.
Si besoin, traitement antibiotique par voie générale.
";"Eviter les blessures en bergerie
Abcès percés et drainés à l’extérieur du troupeau (contagion par contact).
Lors d’achat d’animaux : pulvérisation de chlorhexidine diluée à 5%
";Nombre d’animaux avec abcès très importants
UROLITHIASE (« gravelle »);"Principalement agneaux males à l’engraissement ou bélier
Douleurs abdominales, effort pour uriner
Ballonnement
Œdème en région du fourreau et à l’intérieur des cuisses
Mortalité (état de choc) lors de rupture de la vessie
En cas de doute sur le diagnostic, isolé l’animal sur du béton sec pour vérifier qu’il urine";"ILLUSOIRE !!!
Antispasmodique par voie générale
Antiinflammatoire non stéroïdien
Pronost ic sombre
Lorsque qu’un cas se présente, vérifier les possibilités d’abreuvement et la ration.
";"Abreuvement : eau et abreuvoirs propre
 (1 abreuvoir ACCESSIBLE pour 50 agneaux, ou 1 pour 30 brebis))
Alimentation : attention aux excès de phosphore (céréales)
  (Ca/P entre 1,5 et 2)
Apport de Chlorure d’ammonium (10g /kg d’aliment) ou de plantes diurétiques
  (normalement inclus dans les formulations spécifiques pour agneau)";Augmentation du nombre de cas.
STRONGLES GASTRO-INTESTINAUX;"Anémie (muqueuses oculaires claires)
Amaigrissement,
Signe de la bouteille (œdème sous glossien)
L’été au pâturage
Autopsie (parasites : vers fins torsadés à voir à la loupe dans la caillette)";"Anthelminthique par voie orale ou injectable
Optionnel : BioB12 5 à 10 ml IM/brebis
Optionnel : Fercobsang® 10 ml/brebis";"
Coproscopies régulières
Traitements antiparasitaires, gestion du pâturage (cf. médicaments ci-dessus)
Efficacité du traitement antiparasitaire d’automne
Surveillance des animaux (15 jours après un épisode de pluie suivant une période sèche)
Attention aux animaux jeunes ou en mauvais état d’engraissement";"Augmentation du nombre de cas.
Gestion du pâturage et du parasitisme"
MYASES;Plaies contaminées par des asticots.;"Insecticide en pulvérisation
Désinfection
Couverture antibiotique par voie générale
Optionnel : antiinflammatoire
";"Surveillance, éviter de laisser traîner des cas ou des cadavres.
Clik® prévention uniquement, protection pendant 16 semaines.
Pyréthinoïdes, protection pendant 6 semaines
Eviter les plaies sur les animaux mors de saison à rique";Augmentation du nombre de cas.
PIETAIN;"boiteries contagieuses
lésions entre les onglons
la corne pourrit progressivement, odeur caractéristique
aggravation : décollement et chute des onglons
Se différencie du panaris ou l’articulation est fortement gonflée, et du fourchet ou la lésion de putréfaction du sabot est limitée.";"Parage des pieds, ELIMINATION des déchets de cornes (qui contamine le sol pendant plus d’un an)
Spray antiseptique ou antibiotique
Dans les cas graves : antibiotiques par voie générale";"Traiter les malades le plus rapidement possible
Garder une litière sèche, ainsi que les abords des bâtiments
Passage au pédiluve au moins hebdomadaire (Sulfate de Zinc 15%)
Isoler les malades : trier les animaux atteints et éviter de les mettre dans des parcelles ou bâtiment sain (dans la mesure du possible)
Attention aux achats ou mélanges de troupeaux
Si élimination de la maladie difficile :
Vaccination Footvax® 2 injections à 1 mois rappel annuel (éviter en gestation)";"non guérison des malades
augmentation du nombre de cas"
PROLAPSUS VAGINAL;"« Bonnet »
L’intérêt est de le repérer dès les premiers signes : quand il ne sort pas encore complètement à l’extérieur.
";"Précocité : Pessaire à installer le plus tôt possible
Vagisan® : déposer une noix de mousse après le pessaire
Spasmoglucinol : 10ml/brebis en IM jusqu’à 3 fois/jour.
";"Eviter une marche trop importante devant la mangeoire,
Fourrage à volonté (encombrement de la ration),
Exercice en fin de gestation
Apport en minéraux (Mg 2g/j et Ca et P)
Réforme préférentielle des brebis atteintes
";"Augmentation du nombre de cas.
En cas de non guérison, une césarienne est envisageable, mais l’avenir économique de l’animal est compromis.
"
MYOPATHIE (« raide »);"Concerne les agneaux de tout âge
Difficultés locomotrices (tremblement, raideur, reste couchés longtemps)
Difficultés respiratoires, parfois mortalité
Autopsie : lésions blanchâtres caractéristiques dans les muscles
A différencier de l’arthrite, de la carence en cuivre ou d’autre cause de mortalité sur les agneaux
";"Association Sélénium-Vitamine E injectable 1 ml/10 kg en IM pendant 3 à 5 jours (attention, le traitement n’est pas efficace avec des flacons périmés)
Anti-inflammatoire
Vitamine C 1 comprimé 500mg par agneau
";"Complémentation des brebis en fin de gestation (Vitamines AD3E et Sélénium-Vit E dans le dernier mois de gestation).
Association Sélénium-Vitamine E injectable 0.5 ml/agneau dès la naissance
";"Inefficacité  du  traitement  et  de  la  prévention  mis  en  place.
Augmentation  de  l’incidence  de  la  maladie  dans  l’élevage.
Apparition  de  nouveaux  signes  cliniques.
"
Toxémie de gestation (et hypocalcémie);"En  fin  de  gestation
Isolement  du  ou  des  animaux  concerné(s), baisse  progressive  de  l’appétit  pouvant  aller  jusqu’à  l’anorexie.
La brebis est couchée en fin dévolution, ou se déplace difficilement.
Agnelages  difficiles  par manque de tonicité, mortalité.
Hypocalcémie: les symptômes sont similaires, mais peut intervenir en début de gestation.";"Monopropylène® glycol 50ml dilué/jour pendant 2 à 3 jours
Glucose, sorbitol et gluconate de calcium en injectable sous-cutané
Méthionine + vitamine B12 en IM 3 jours
Dans les cas graves pour sauver la brebis : Corticoïde en IM (déclenche la mise-bas)
Césarienne
";"Ration en fin de gestation : Apport énergétique suffisant et respect des transitions alimentaires. Apports Ca P équilibrés.
Vermifugation : traiter les brebis maigres ou les jeunes, attention aux Douve
Place à l’auge (3brebis au mètre, à moduler selon la race et la taille des portée)
Température : refroidissement brutal en fin de gestation
Brebis grasses (note>4) : traitement préventif : Monopropylène glycol® 20mlpar jour voie orale et protecteur hépatique (dans la ration ou BioB12® 5ml/jour pendant 3 jours.
";"Echec  du  traitement  mis  en  place.
Augmentation  de  l’incidence  de  la  maladie : des cas de toxémie de gestation sont des indicateurs pour corriger la ration afin de réussir un agnelage."
